,Sector,industry,Market Cap,Enterprise Value,Shares Outstanding,PEG Ratio,Price/Book,Price/Sales,Forward P/E,Trailing P/E,Quarterly Revenue Growth,Average Dividend Yield,Held by Insiders,Held by Institutions,Gross Profit,EBITDA,EBIT_Q,EBIT_Y,Quarterly Earnings Growth,Total Cash,Diluted EPS,Quarterly Cash Growth,Cash,Net Income Q,Net Income Y
DDD,Technology,Computer Software: Prepackaged Software,3510000000.0,3510000000.0,124140000.0,,8.1,5.9,,,-0.13,,0.0327,0.6801999999999999,278040000.0,-18310000.0,-7446000.0,-57104000.0,,75260000.0,-1.1,0.17743499890491538,75264000.0,-72889000.0,-69880000.0
MMM,Health Care,Medical/Dental Instruments,96110000000.0,112000000000.0,576820000.0,3.0,8.0,3.0,17.6,19.5,0.045,2.8,0.0019,0.6653,15400000000.0,8600000000.0,1928000000.0,7136000000.0,-0.107,4570000000.0,8.5,-0.023228253140554635,4121000000.0,1413000000.0,4570000000.0
WBAI,Consumer Services,Services-Misc. Amusement & Recreation,520320000.00000006,468350000.0,43000000.0,,7.5,134.1,,,-0.371,,0.21559999999999999,0.0901,-19720000.0,,-50237000.0,-331242000.0,,,-1.2,-0.05791441769174802,278391000.0,-43973000.0,-651268000.0
EGHT,Technology,EDP Services,3760000000.0,4000000000.0,106320000.0,,20.7,7.1,212.7,,0.179,,0.0407,1.018,245010000.0,-138860000.0,-33098000.0,-158019000.0,,153230000.0,-1.7,0.044202588053817805,121848000.0,-38413000.0,-172368000.0
AHC,Consumer Services,Newspapers/Magazines,35970000.0,15350000.0,18940000.0,,0.7,0.2,,3.6,-0.12300000000000001,9.0,0.0278,0.5640999999999999,-524.0,-1860000.0,-1194000.0,-10002000.0,,43170000.0,-0.291,0.020420704325218624,43174000.0,-98000.0,9292000.0
AOS,Consumer Durables,Consumer Electronics/Appliances,8850000000.0,8490000000.0,135430000.0,2.2,5.0,3.1,22.8,28.2,0.044000000000000004,1.4,0.009300000000000001,0.9653,1180000000.0,485200000.0,139900000.0,459700000.0,0.207,509000000.0,1.9,-0.14637451999096454,377900000.0,105400000.0,370000000.0
ATEN,Technology,Computer Communications Equipment,764020000.0,610090000.0,76710000.0,,6.2,3.5,19.2,76.6,0.071,,0.047599999999999996,0.8003,163750000.0,21620000.0,3941000.0,-14564000.0,36.364000000000004,159110000.0,0.1,0.2615648634693072,83069000.0,6464000.0,-17819000.0
AIR,Capital Goods,Aerospace,1350000000.0,1520000000.0,35290000.0,5.5,1.5,0.7,41.1,25.1,-0.28,0.9,0.0545,0.9043000000000001,283200000.0,55900000.0,4500000.0,57200000.0,-0.423,110000000.0,-0.5,0.02135561745589601,110000000.0,8200000.0,4400000.0
ABB,Consumer Durables,Electrical Products,60810000000.0,62040000000.0,2060000000.0,0.8,3.6,2.4,22.3,127.6,-0.045,3.2,0.0,0.0481,8960000000.0,3370000000.0,163000000.0,2628000000.0,7.796,8449999999.999999,2.6,0.2621127879269261,3178000000.0,4530000000.0,1439000000.0
ABT,Health Care,Major Pharmaceuticals,196450000000.0,210280000000.0,1770000000.0,3.4,6.2,6.1,25.1,58.9,0.096,1.8,0.0069,0.7558,18710000000.0,7820000000.0,1447000000.0,4895000000.0,0.28300000000000003,4730000000.0,1.8,-0.059416334243124085,4480000000.0,1232000000.0,3687000000.0
