Symbol,Sector,industry
DDD,Technology,Computer Software: Prepackaged Software
MMM,Health Care,Medical/Dental Instruments
WBAI,Consumer Services,Services-Misc. Amusement & Recreation
EGHT,Technology,EDP Services
AHC,Consumer Services,Newspapers/Magazines
AOS,Consumer Durables,Consumer Electronics/Appliances
ATEN,Technology,Computer Communications Equipment
AIR,Capital Goods,Aerospace
ABB,Consumer Durables,Electrical Products
ABT,Health Care,Major Pharmaceuticals
ABBV,Health Care,Major Pharmaceuticals
ANF,Consumer Services,Clothing/Shoe/Accessory Stores
AGD,,
AWP,,
ACP,,
JEQ,,
ASGI,,
AOD,,
ABM,Finance,Diversified Commercial Services
AKR,Consumer Services,Real Estate Investment Trusts
ACEL,Consumer Services,Services-Misc. Amusement & Recreation
ACN,Miscellaneous,Business Services
ACCO,Consumer Durables,Publishing
ATV,Consumer Services,Other Specialty Stores
AYI,Consumer Durables,Building Products
GOLF,Consumer Non-Durables,Recreational Products/Toys
ADX,,
PEO,,
ADCT,Health Care,Major Pharmaceuticals
AGRO,Consumer Non-Durables,Farming/Seeds/Milling
ADNT,Capital Goods,Auto Parts:O.E.M.
ADT,Consumer Services,Diversified Commercial Services
ATGE,Consumer Services,Other Consumer Services
AAP,Consumer Services,Other Specialty Stores
WMS,Capital Goods,Containers/Packaging
ASIX,Basic Industries,Major Chemicals
AVK,,
IMPX,Finance,Business Services
IMPX.U,,
IMPX.WS,,
ACM,Consumer Services,Military/Government/Technical
AEFC,Finance,Life Insurance
AEB,Finance,Life Insurance
AEG,Finance,Life Insurance
AENZ,Basic Industries,Military/Government/Technical
AER,Technology,Diversified Commercial Services
AJRD,Capital Goods,Military/Government/Technical
AMG,Finance,Investment Managers
MGR,Finance,Investment Managers
MGRB,Finance,Investment Managers
AFL,Finance,Accident &Health Insurance
MITT,,
MITT^A,,
MITT^B,,
MITT^C,,
AGCO,Capital Goods,Industrial Machinery/Components
A,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AEM,Basic Industries,Precious Metals
ADC,Consumer Services,Real Estate Investment Trusts
AL,Technology,Diversified Commercial Services
AL^A,,
APD,Basic Industries,Major Chemicals
AJAX,Finance,Business Services
AJAX.U,,
AJAX.WS,,
ALP^Q,,
ALG,Capital Goods,Industrial Machinery/Components
AGI,Basic Industries,Precious Metals
ALK,Transportation,Air Freight/Delivery Services
AIN,Basic Industries,Textiles
ALB,Basic Industries,Major Chemicals
ACI,Consumer Services,Food Chains
AA,Basic Industries,Aluminum
ALC,Health Care,Ophthalmic Goods
ALEX,Consumer Services,Real Estate Investment Trusts
ALX,Consumer Services,Real Estate Investment Trusts
ARE,Consumer Services,Real Estate Investment Trusts
AQN,Public Utilities,Electric Utilities: Central
AQNA,Public Utilities,Electric Utilities: Central
AQNB,Public Utilities,Electric Utilities: Central
BABA,Miscellaneous,Business Services
Y,Finance,Property-Casualty Insurers
ATI,Basic Industries,Steel/Iron Ore
ALLE,Consumer Services,Diversified Commercial Services
ALE,Public Utilities,Power Generation
ADS,Miscellaneous,Business Services
AFB,,
AWF,,
AB,Finance,Investment Managers
AIO,,
CBH,,
NCV,,
NCV^A,,
NCZ,,
NCZ^A,,
ACV,,
NFJ,Finance,Finance: Consumer Services
NIE,,
ALSN,Capital Goods,Auto Parts:O.E.M.
ALL,Finance,Property-Casualty Insurers
ALL^B,,
ALL^G,,
ALL^H,,
ALL^I,,
ALLY,Finance,Major Banks
ALLY^A,,
PINE,Consumer Services,Real Estate Investment Trusts
ALTG,Capital Goods,Industrial Machinery/Components
ALTG.WS,,
ALIN^A,,
ALIN^B,,
ALIN^E,,
AYX,Technology,Computer Software: Prepackaged Software
ATUS,Consumer Services,Television Services
ATAC,Finance,Investment Managers
ATAC.U,,
ATAC.WS,,
MO,Consumer Non-Durables,Farming/Seeds/Milling
ACH,Basic Industries,Aluminum
ALUS,Finance,Business Services
ALUS.U,,
ALUS.WS,,
AMBC,Finance,Property-Casualty Insurers
AMBC.WS,,
ABEV,Consumer Non-Durables,Beverages (Production/Distribution)
AMC,Consumer Services,Movies/Entertainment
AMCR,Consumer Durables,Miscellaneous manufacturing industries
AEE,Public Utilities,Power Generation
AMRC,Basic Industries,Engineering & Construction
AMOV,Public Utilities,Telecommunications Equipment
AMX,Public Utilities,Telecommunications Equipment
AAT,Consumer Services,Real Estate Investment Trusts
AXL,Capital Goods,Auto Parts:O.E.M.
ACC,Consumer Services,Real Estate Investment Trusts
AEO,Consumer Services,Clothing/Shoe/Accessory Stores
AEL,Finance,Life Insurance
AEL^A,,
AEL^B,,
AXP,Finance,Finance: Consumer Services
AFG,Finance,Property-Casualty Insurers
AFGB,Finance,Property-Casualty Insurers
AFGC,Finance,Property-Casualty Insurers
AFGD,Finance,Property-Casualty Insurers
AFGE,Finance,Property-Casualty Insurers
AMH,Consumer Services,Real Estate Investment Trusts
AMH^D,,
AMH^E,,
AMH^F,,
AMH^G,,
AMH^H,,
AIG,Finance,Property-Casualty Insurers
AIG.WS,,
AIG^A,,
ARL,Finance,Real Estate
ARA,Health Care,Misc Health and Biotechnology Services
AWR,Public Utilities,Water Supply
AMT,Consumer Services,Real Estate Investment Trusts
AVD,Basic Industries,Agricultural Chemicals
AWK,Public Utilities,Water Supply
AMWL,Miscellaneous,Business Services
ATA.U,,
COLD,Consumer Services,Real Estate Investment Trusts
AMP,Finance,Investment Managers
ABC,Health Care,Other Pharmaceuticals
AMN,Technology,Professional Services
AMRX,Health Care,Major Pharmaceuticals
AP,Capital Goods,Fluid Controls
APH,Capital Goods,Electrical Products
AXR,Consumer Services,Newspapers/Magazines
HKIB,Finance,Finance: Consumer Services
AME,Capital Goods,Industrial Machinery/Components
PLAN,Technology,Computer Software: Prepackaged Software
DYFN,,
FINS,,
AU,Basic Industries,Precious Metals
BUD,Consumer Non-Durables,Beverages (Production/Distribution)
NLY,Consumer Services,Real Estate Investment Trusts
NLY^F,,
NLY^G,,
NLY^I,,
AM,Public Utilities,Natural Gas Distribution
AR,Energy,Oil & Gas Production
ANTM,Health Care,Medical Specialities
ANH,Consumer Services,Real Estate Investment Trusts
ANH^A,,
ANH^B,,
ANH^C,,
AON,Finance,Specialty Insurers
AIRC,Consumer Services,Real Estate Investment Trusts
AIV,Consumer Services,Real Estate Investment Trusts
APG,Basic Industries,Engineering & Construction
ARI,Consumer Services,Real Estate Investment Trusts
APO,Finance,Investment Managers
APO^A,,
APO^B,,
AFT,,
APSG,Finance,Business Services
APSG.U,,
APSG.WS,,
AIF,,
APLE,Consumer Services,Real Estate Investment Trusts
AIT,Consumer Durables,Industrial Specialties
ATR,Consumer Non-Durables,Plastic Products
APTV,Capital Goods,Auto Parts:O.E.M.
APTV^A,,
ARMK,Consumer Services,Restaurants
ABR,Consumer Services,Real Estate Investment Trusts
ABR^A,,
ABR^B,,
ABR^C,,
ARC,Consumer Services,Professional Services
MT,Basic Industries,Steel/Iron Ore
MTCN,Basic Industries,Steel/Iron Ore
ARCH,Energy,Coal Mining
ADM,Consumer Non-Durables,Packaged Foods
AROC,Public Utilities,Natural Gas Distribution
ARNC,,
ARCO,Consumer Services,Restaurants
ACA,Capital Goods,Metal Fabrications
RCUS,Health Care,Major Pharmaceuticals
ARD,Consumer Durables,Containers/Packaging
ASC,Transportation,Marine Transportation
AFC,,
ACRE,Consumer Services,Real Estate Investment Trusts
ARDC,,
ARES,Finance,Investment Managers
ARES^A,,
AGX,Basic Industries,Engineering & Construction
ARGD,Finance,Specialty Insurers
ARGO,Finance,Specialty Insurers
ARGO^A,,
ANET,Technology,Computer Communications Equipment
AAIC,Consumer Services,Real Estate Investment Trusts
AAIC^B,,
AAIC^C,,
AIC,Consumer Services,Real Estate Investment Trusts
AIW,Consumer Services,Real Estate Investment Trusts
ARLO,Consumer Non-Durables,Consumer Electronics/Appliances
AHH,Finance,Real Estate
AHH^A,,
ARR,Consumer Services,Real Estate Investment Trusts
ARR^C,,
AFI,Consumer Non-Durables,Plastic Products
AWI,Consumer Non-Durables,Plastic Products
ARW,Technology,Electronic Components
AJG,Finance,Specialty Insurers
APAM,Finance,Investment Managers
ASA,,
ASAN,Technology,Computer Software: Prepackaged Software
ABG,Consumer Durables,Automotive Aftermarket
ACND,Finance,Business Services
ACND.U,,
ACND.WS,,
ASX,Technology,Semiconductors
ASGN,Technology,Professional Services
AHT,Consumer Services,Real Estate Investment Trusts
AHT^D,,
AHT^F,,
AHT^G,,
AHT^H,,
AHT^I,,
ASH,Consumer Durables,Specialty Chemicals
ASPN,Consumer Services,RETAIL: Building Materials
AHL^C,,
AHL^D,,
AHL^E,,
ASPL,Finance,Business Services
ASPL.U,,
ASPL.WS,,
AMK,Finance,Investment Managers
ASB,Finance,Major Banks
ASB^C,,
ASB^D,,
ASB^E,,
ASB^F,,
AC,Finance,Investment Bankers/Brokers/Service
AIZ,Finance,Property-Casualty Insurers
AIZN,Finance,Property-Casualty Insurers
AIZP,Finance,Property-Casualty Insurers
AGO,Finance,Property-Casualty Insurers
AGO^B,,
AGO^E,,
AGO^F,,
HOME,Consumer Services,Home Furnishings
T,Public Utilities,Telecommunications Equipment
T^A,,
T^C,,
TBB,Public Utilities,Telecommunications Equipment
TBC,Public Utilities,Telecommunications Equipment
ATTO,Public Utilities,Telecommunications Equipment
ATH,Finance,Life Insurance
ATH^A,,
ATH^B,,
ATH^C,,
ATH^D,,
ATKR,Miscellaneous,Industrial Machinery/Components
AT,Energy,Electric Utilities: Central
ASAQ,Finance,Business Services
ASAQ.U,,
ASAQ.WS,,
ATCO,Transportation,Marine Transportation
ATCO^D,,
ATCO^E,,
ATCO^G,,
ATCO^H,,
ATCO^I,,
ACIC,Finance,Business Services
ACIC.U,,
ACIC.WS,,
ATO,Public Utilities,Oil/Gas Transmission
ACB,Consumer Durables,Specialty Chemicals
ATHM,Technology,EDP Services
ALV,Capital Goods,Auto Parts:O.E.M.
AN,Consumer Durables,Automotive Aftermarket
AZO,Consumer Services,Other Specialty Stores
AVLR,Technology,Computer Software: Prepackaged Software
AVB,Consumer Services,Real Estate Investment Trusts
AGR,Public Utilities,Electric Utilities: Central
AVNS,Health Care,Industrial Specialties
AVAN,Finance,Business Services
AVAN.U,,
AVAN.WS,,
AVTR,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AVTR^A,,
AVYA,Public Utilities,Telecommunications Equipment
AVY,Consumer Durables,Containers/Packaging
AVNT,Basic Industries,Major Chemicals
AVA,Public Utilities,Power Generation
AXTA,Basic Industries,Paints/Coatings
